Year,State,District,Republican,Democrat
2016,Alabama,1,208083,96820*
2016,Alabama,2,134886,112089
2016,Alabama,3,192164,94549
2016,Alabama,4,235925,82611*
2016,Alabama,5,205647,102234
2016,Alabama,6,245313,83709
2016,Alabama,7,117793*,229330
2016,Alabama,Senate,1335104,748709
2016,Alabama,President,1318225,729547
2016,Arizona,1,121745,142219
2016,Arizona,2,179806,135873
2016,Arizona,3,105982*,148973
2016,Arizona,4,203487,81296
2016,Arizona,5,205184,114940
2016,Arizona,6,201578,122866
2016,Arizona,7,39286,119465
2016,Arizona,8,204942,113418*
2016,Arizona,9,108350,169055
2016,Arizona,Senate,1359267,1031245
2016,Arizona,President,1252401,1161167
2016,Arkansas,1,183866,110079*
2016,Arkansas,2,176472,111347
2016,Arkansas,3,217192,123769*
2016,Arkansas,4,182885,127955*
2016,Arkansas,Senate,661984,400602
2016,Arkansas,President,684872,380494
2016,California,1,185448,128588
2016,California,2,76572,254194
2016,California,3,104453,152513
2016,California,4,220133,130845
2016,California,5,67565,224526
2016,California,6,57848,177565
2016,California,7,145168,152133
2016,California,8,136972,83035
2016,California,9,98992,133163
2016,California,10,124671,116470
2016,California,11,83341,214868
2016,California,12,51543*,274035
2016,California,13,29754,293117
2016,California,14,54817,231630
2016,California,15,70619,198578
2016,California,16,70483,97473
2016,California,17,83883*,233192
2016,California,18,93470,230460
2016,California,19,64061,181802
2016,California,20,74811,180980
2016,California,21,75126,57282
2016,California,22,158755,76211
2016,California,23,167116,74468
2016,California,24,144780,166034
2016,California,25,138755,122406
2016,California,26,111059,169248
2016,California,27,81655,168977
2016,California,28,59526,210883
2016,California,29,58463*,171824
2016,California,30,77325,205279
2016,California,31,94866,121070
2016,California,32,111140*,186646
2016,California,33,110822,219397
2016,California,34,26740*,159156
2016,California,35,47309,124044
2016,California,36,88269,144348
2016,California,37,40729*,237272
2016,California,38,68524,163590
2016,California,39,150777,112679
2016,California,40,18290*,106554
2016,California,41,69159,128164
2016,California,42,149547,104689
2016,California,43,52499,167017
2016,California,44,26542*,178413
2016,California,45,182618,129231
2016,California,46,101796*,164593
2016,California,47,88109,154759
2016,California,48,178701,127715
2016,California,49,155888,154267
2016,California,50,179937,103646
2016,California,51,54362,145162
2016,California,52,139403,181253
2016,California,53,97968,198988
2016,California,President,4483810,8753788
2016,Colorado,1,105030,257254
2016,Colorado,2,170001,260175
2016,Colorado,3,204220,150914
2016,Colorado,4,248230,123642
2016,Colorado,5,225445,111676
2016,Colorado,6,191626,160372
2016,Colorado,7,144066,199758
2016,Colorado,Senate,1215318,1370710
2016,Colorado,President,1202484,1338870
2016,Connecticut,1,105674,187021
2016,Connecticut,2,111149,186210
2016,Connecticut,3,95786,192274
2016,Connecticut,4,120653,187811
2016,Connecticut,5,124900,163499
2016,Connecticut,Senate,552621,920766
2016,Connecticut,President,673215,897572
2016,Florida,1,255107,114079
2016,Florida,2,231163,102801
2016,Florida,3,193843,136338
2016,Florida,4,287509,113088
